Date,Cash Value,Holding Value,Total,AMZN,MSFT,NVDA,TSLA,GOOGL,META,AAPL
2013-09-27,33.95038369297987,18477.187640577555,18511.138024270535,8,3,551,617,9,63,392
2013-09-30,33.95038369297987,18429.454655110836,18463.405038803816,8,3,551,617,9,63,392
2013-10-01,33.95038369297987,18589.72941622138,18623.67979991436,8,3,551,617,9,63,392
2013-10-02,33.95038369297987,18108.581205815077,18142.531589508057,8,3,551,617,9,63,392
2013-10-03,33.95038369297987,17631.558962136507,17665.509345829487,8,3,551,617,9,63,392
2013-10-04,33.95038369297987,18062.7344288826,18096.68481257558,8,3,551,617,9,63,392
2013-10-07,33.95038369297987,18175.190573215485,18209.140956908464,8,3,551,617,9,63,392
2013-10-08,12.521955043077526,17537.12279832363,17549.64475336671,8,3,551,617,10,63,392
2013-10-09,7.1564550697804075,17348.917446404696,17356.073901474476,8,3,565,617,10,63,392
2013-10-10,7.1564550697804075,17716.30668270588,17723.46313777566,8,3,565,617,10,63,392
2013-10-11,7.1564550697804075,18004.30565047264,18011.46210554242,8,3,565,617,10,63,392
2013-10-14,7.1564550697804075,18121.844915688038,18129.00137075782,8,3,565,617,10,63,392
2013-10-15,7.1564550697804075,18330.50462821126,18337.66108328104,8,3,565,617,10,63,392
2013-10-16,7.1564550697804075,18460.992831349373,18468.149286419153,8,3,565,617,10,63,392
2013-10-17,7.1564550697804075,18543.665208160877,18550.821663230658,8,3,565,617,10,63,392
2013-10-18,7.1564550697804075,18797.047601491213,18804.204056560993,8,3,565,617,10,63,392
2013-10-21,7.1564550697804075,18501.70720887184,18508.86366394162,8,3,565,617,10,63,392
2013-10-22,7.1564550697804075,18364.541233986616,18371.697689056396,8,3,565,617,10,63,392
2013-10-23,7.1564550697804075,18094.60583204031,18101.76228711009,8,3,565,617,10,63,392
2013-10-24,7.1564550697804075,18581.398595929146,18588.555050998926,8,3,565,617,10,63,392
2013-10-25,7.1564550697804075,18336.836976855993,18343.993431925774,8,3,565,617,10,63,392
2013-10-28,7.1564550697804075,18000.603875786066,18007.760330855846,8,3,565,617,10,63,392
2013-10-29,7.1564550697804075,17837.00248771906,17844.15894278884,8,3,565,617,10,63,392
2013-10-30,7.1564550697804075,17709.37709453702,17716.5335496068,8,3,565,617,10,63,392
2013-10-31,7.1564550697804075,17784.198952436447,17791.355407506227,8,3,565,617,10,63,392
2013-11-01,7.1564550697804075,17808.016894102097,17815.173349171877,8,3,565,617,10,63,392
2013-11-04,3.8422049582005124,18339.687548816204,18343.529753774405,8,3,574,617,10,63,392
2013-11-05,3.8422049582005124,18507.505813360214,18511.348018318415,8,3,574,617,10,63,392
2013-11-06,3.8422049582005124,17331.925293803215,17335.767498761415,8,3,574,617,10,63,392
2013-11-07,2.3422049582005124,16632.75677496195,16635.09897992015,8,3,578,617,10,63,392
2013-11-08,2.3422049582005124,16689.141109585762,16691.483314543962,8,3,578,617,10,63,392
2013-11-11,2.3422049582005124,16863.43633544445,16865.77854040265,8,3,578,617,10,63,392
2013-11-12,2.3422049582005124,16616.988513708115,16619.330718666315,8,3,578,617,10,63,392
2013-11-13,2.3422049582005124,16811.455087780952,16813.797292739153,8,3,578,617,10,63,392
2013-11-14,2.3422049582005124,16895.02250301838,16897.36470797658,8,3,578,617,10,63,392
2013-11-15,2.3422049582005124,16762.49305409193,16764.83525905013,8,3,578,617,10,63,392
2013-11-18,2.3422049582005124,15893.339071691036,15895.681276649237,8,3,578,617,10,63,392
2013-11-19,2.3422049582005124,16116.742634475231,16119.084839433432,8,3,578,617,10,63,392
2013-11-20,2.3422049582005124,15848.633856832981,15850.976061791182,8,3,578,617,10,63,392
2013-11-21,2.3422049582005124,16000.502924442291,16002.845129400492,8,3,578,617,10,63,392
2013-11-22,2.3422049582005124,15921.669525325298,15924.011730283499,8,3,578,617,10,63,392
2013-11-25,2.3422049582005124,15876.011536300182,15878.353741258383,8,3,578,617,10,63,392
2013-11-26,2.3422049582005124,16070.699379384518,16073.041584342718,8,3,578,617,10,63,392
2013-11-27,2.3422049582005124,16554.16847628355,16556.51068124175,8,3,578,617,10,63,392
2013-11-29,2.3422049582005124,16744.481703042984,16746.823908001184,8,3,578,617,10,63,392
2013-12-02,2.3422049582005124,16553.26776278019,16555.60996773839,8,3,578,617,10,63,392
2013-12-03,2.3422049582005124,17584.27858954668,17586.62079450488,8,3,578,617,10,63,392
2013-12-04,2.3422049582005124,17455.172508835793,17457.514713793993,8,3,578,617,10,63,392
2013-12-05,2.3422049582005124,17533.69076269865,17536.03296765685,8,3,578,617,10,63,392
2013-12-06,2.3422049582005124,17271.710979044437,17274.053184002638,8,3,578,617,10,63,392
2013-12-09,2.3422049582005124,17591.095051825047,17593.437256783247,8,3,578,617,10,63,392
2013-12-10,2.3422049582005124,17697.918580174446,17700.260785132647,8,3,578,617,10,63,392
2013-12-11,2.3422049582005124,17472.222618877888,17474.564823836088,8,3,578,617,10,63,392
2013-12-12,2.3422049582005124,17929.0397426486,17931.381947606802,8,3,578,617,10,63,392
2013-12-13,2.3422049582005124,17940.784432947636,17943.126637905836,8,3,578,617,10,63,392
2013-12-16,2.3422049582005124,18032.39474594593,18034.73695090413,8,3,578,617,10,63,392
2013-12-17,2.3422049582005124,18247.920081317425,18250.262286275625,8,3,578,617,10,63,392
2013-12-18,2.3422049582005124,18059.557012736797,18061.899217694998,8,3,578,617,10,63,392
2013-12-19,2.3422049582005124,17639.766351640224,17642.108556598425,8,3,578,617,10,63,392
2013-12-20,2.3422049582005124,17824.208939433098,17826.5511443913,8,3,578,617,10,63,392
